state,population,crime guns exported per 100000 inhabitants
Alabama,4708708,33.2
Alaska,698473,33.4
Arizona,6595778,24.8
Arkansas,2889450,26.6
California,36961664,4.8
Colorado,5024748,13.7
Connecticut,3518288,6.9
Delaware,885122,18.5
District of Columbia,599657,2.2
Florida,18537969,14.2
Georgia,9829211,28.3
Hawaii,1295178,2.3
Idaho,1545801,19.3
Illinois,12910409,6.5
Indiana,6423113,31.3
Iowa,3007856,9.6
Kansas,2818747,18.8
Kentucky,4314113,34.9
Louisiana,4492076,23.7
Maine,1318301,16.9
Maryland,5699478,11.9
Massachusetts,6593587,3.6
Michigan,9969727,6.9
Minnesota,5266214,6.1
Mississippi,2951996,50.3
Missouri,5987580,10
Montana,974989,24.2
Nebraska,1796619,8.7
Nevada,2643085,30.6
New Hampshire,1324575,18.3
New Jersey,8707739,2.8
New Mexico,2009671,21.7
New York,19541453,2.6
North Carolina,9380884,18.9
North Dakota,646844,11
Ohio,11542645,15.6
Oklahoma,3687050,19
Oregon,3825657,16.9
Pennsylvania,12604767,14.1
Rhode Island,1053209,6.3
South Carolina,4561242,33
South Dakota,812383,14.8
Tennessee,6296254,18.6
Texas,24782302,9
Utah,2784572,13.8
Vermont,621760,22.8
Virginia,7882590,32.4
Washington,6664195,11.9
West Virginia,1819777,46.8
Wisconsin,5654774,10
Wyoming,544270,25.9
