,year,state,population,admin,handgun,long_gun,month,multiple,other,permit,totals
0,2013,United States,316234505.0,267.0,881038.0,788328.0,1,31029.0,26137.0,693076.0,2483230.0
1,2013,United States,316234505.0,375.0,770872.0,703223.0,2,31163.0,22709.0,664252.0,2298561.0
2,2013,United States,316234505.0,376.0,683266.0,700873.0,3,23878.0,23817.0,695386.0,2197116.0
3,2013,United States,316234505.0,665.0,533674.0,554003.0,4,18624.0,21136.0,517224.0,1702455.0
4,2013,United States,316234505.0,619.0,445522.0,436674.0,5,16057.0,15605.0,449993.0,1424450.0
5,2013,United States,316234505.0,444.0,394363.0,392866.0,6,14526.0,13555.0,398792.0,1270817.0
6,2013,United States,316234505.0,519.0,391016.0,376846.0,7,14339.0,12468.0,416312.0,1271571.0
7,2013,United States,316234505.0,582.0,428058.0,497092.0,8,17092.0,13486.0,391909.0,1408468.0
8,2013,United States,316234505.0,469.0,413380.0,523292.0,9,16018.0,14005.0,357722.0,1392423.0
9,2013,United States,316234505.0,675.0,422005.0,578973.0,10,17954.0,14272.0,565281.0,1679099.0
10,2013,United States,316234505.0,399.0,458889.0,732270.0,11,19436.0,15898.0,497659.0,1805759.0
11,2013,United States,316234505.0,274.0,565419.0,844358.0,12,21244.0,19688.0,522226.0,2032755.0
12,2013,Alabama,4827660.0,0.0,20186.0,30523.0,12,926.0,738.0,21065.0,77374.0
13,2013,Alabama,4827660.0,0.0,14646.0,22547.0,11,808.0,508.0,15409.0,59213.0
14,2013,Alabama,4827660.0,0.0,12230.0,15479.0,10,740.0,461.0,18118.0,51520.0
15,2013,Alabama,4827660.0,0.0,11406.0,13077.0,9,616.0,566.0,16722.0,46263.0
16,2013,Alabama,4827660.0,0.0,14310.0,13402.0,8,688.0,350.0,17470.0,49978.0
17,2013,Alabama,4827660.0,0.0,12058.0,12037.0,7,552.0,381.0,4632.0,33290.0
18,2013,Alabama,4827660.0,0.0,11054.0,10828.0,6,549.0,349.0,1861.0,27990.0
19,2013,Alabama,4827660.0,0.0,13221.0,12165.0,5,559.0,372.0,2017.0,32005.0
