year,state,population,admin,handgun,long_gun,month,multiple,other,permit,totals,city,killed,injured
2013,Alabama,4827660.0,0.0,20186.0,30523.0,12,926.0,738.0,21065.0,77374.0,Montgomery,3,5
2013,Alabama,4827660.0,0.0,12058.0,12037.0,7,552.0,381.0,4632.0,33290.0,Florence,0,4
2013,Arizona,6616124.0,0.0,10029.0,10055.0,11,534.0,526.0,3580.0,26839.0,Phoenix,1,3
2013,Arizona,6616124.0,0.0,8719.0,7750.0,10,485.0,483.0,4487.0,24148.0,Avondale,0,4
2013,Arizona,6616124.0,0.0,9533.0,7320.0,5,394.0,503.0,7588.0,27145.0,Apache Junction,0,5
2013,Arizona,6616124.0,0.0,11774.0,8650.0,4,526.0,748.0,8830.0,32444.0,Phoenix,2,4
2013,California,38347383.0,0.0,31163.0,43714.0,11,0.0,84.0,33427.0,109140.0,Fresno,0,4
2013,California,38347383.0,0.0,31163.0,43714.0,11,0.0,84.0,33427.0,109140.0,Oakland,0,7
2013,California,38347383.0,0.0,31163.0,43714.0,11,0.0,84.0,33427.0,109140.0,Los Angeles,1,3
2013,California,38347383.0,0.0,31163.0,43714.0,11,0.0,84.0,33427.0,109140.0,Perris,0,5
2013,California,38347383.0,0.0,30693.0,37814.0,10,0.0,132.0,45148.0,114595.0,Vallejo,1,6
2013,California,38347383.0,0.0,30693.0,37814.0,10,0.0,132.0,45148.0,114595.0,Roseville,0,4
2013,California,38347383.0,0.0,30693.0,37814.0,10,0.0,132.0,45148.0,114595.0,Fresno,1,12
2013,California,38347383.0,0.0,27422.0,39102.0,9,0.0,75.0,36741.0,104067.0,Long Beach,2,2
2013,California,38347383.0,0.0,27422.0,39102.0,9,0.0,75.0,36741.0,104067.0,Stockton,2,3
2013,California,38347383.0,2.0,31020.0,39974.0,8,0.0,74.0,39311.0,111132.0,Oakland,0,4
2013,California,38347383.0,2.0,31020.0,39974.0,8,0.0,74.0,39311.0,111132.0,San Francisco,0,4
2013,California,38347383.0,2.0,31020.0,39974.0,8,0.0,74.0,39311.0,111132.0,Salinas,3,4
2013,California,38347383.0,4.0,29531.0,31564.0,7,0.0,75.0,38286.0,100114.0,Madera,0,4
2013,California,38347383.0,4.0,29531.0,31564.0,7,0.0,75.0,38286.0,100114.0,Oakland,1,3
2013,California,38347383.0,4.0,29531.0,31564.0,7,0.0,75.0,38286.0,100114.0,San Francisco,1,3
2013,California,38347383.0,4.0,29531.0,31564.0,7,0.0,75.0,38286.0,100114.0,Stockton,1,4
2013,California,38347383.0,0.0,29702.0,35007.0,6,0.0,78.0,43693.0,109153.0,Three Rivers,2,2
2013,California,38347383.0,0.0,29702.0,35007.0,6,0.0,78.0,43693.0,109153.0,Sacramento,1,3
2013,California,38347383.0,0.0,29702.0,35007.0,6,0.0,78.0,43693.0,109153.0,Santa Monica,6,1
2013,California,38347383.0,0.0,29702.0,35007.0,6,0.0,78.0,43693.0,109153.0,Vallejo,2,2
2013,California,38347383.0,0.0,31638.0,37157.0,5,0.0,71.0,42804.0,112464.0,Bakersfield,2,2
2013,California,38347383.0,0.0,31638.0,37157.0,5,0.0,71.0,42804.0,112464.0,Los Angeles,3,1
2013,California,38347383.0,0.0,31638.0,37157.0,5,0.0,71.0,42804.0,112464.0,Palo Alto,0,5
2013,California,38347383.0,0.0,34701.0,42516.0,4,0.0,72.0,32066.0,110149.0,Vallejo,0,4
2013,California,38347383.0,0.0,34701.0,42516.0,4,0.0,72.0,32066.0,110149.0,Long Beach,1,3
2013,California,38347383.0,0.0,38013.0,48181.0,3,0.0,80.0,29750.0,117106.0,Merced (county),3,2
2013,California,38347383.0,0.0,38013.0,48181.0,3,0.0,80.0,29750.0,117106.0,Stockton,2,3
2013,California,38347383.0,0.0,38013.0,48181.0,3,0.0,80.0,29750.0,117106.0,Galt,0,7
2013,California,38347383.0,0.0,38013.0,48181.0,3,0.0,80.0,29750.0,117106.0,Modesto,0,4
2013,California,38347383.0,0.0,38013.0,48181.0,3,0.0,80.0,29750.0,117106.0,Oceanside,2,2
2013,California,38347383.0,0.0,38013.0,48181.0,3,0.0,80.0,29750.0,117106.0,Los Banos,1,3
2013,California,38347383.0,2.0,38087.0,46026.0,2,0.0,97.0,23358.0,108666.0,Lancaster,0,4
2013,California,38347383.0,2.0,38087.0,46026.0,2,0.0,97.0,23358.0,108666.0,Orange (county),4,3
2013,California,38347383.0,2.0,38087.0,46026.0,2,0.0,97.0,23358.0,108666.0,Vallejo,1,4
2013,California,38347383.0,2.0,38087.0,46026.0,2,0.0,97.0,23358.0,108666.0,Yuba (county),1,3
2013,California,38347383.0,0.0,51025.0,54527.0,1,0.0,96.0,26591.0,133187.0,Brentwood,0,4
2013,California,38347383.0,0.0,51025.0,54527.0,1,0.0,96.0,26591.0,133187.0,Hawthorne,1,3
2013,Colorado,5262556.0,0.0,12795.0,12751.0,9,789.0,515.0,4764.0,31620.0,Colorado Springs,0,5
2013,Colorado,5262556.0,0.0,16137.0,13206.0,6,1102.0,658.0,9377.0,40488.0,Aurora,0,4
2013,Connecticut,3602470.0,13.0,4324.0,3224.0,10,0.0,78.0,12550.0,20189.0,New Haven,1,5
2013,Connecticut,3602470.0,6.0,4649.0,3859.0,9,0.0,62.0,13090.0,21666.0,Bridgeport,1,4
2013,Connecticut,3602470.0,8.0,4649.0,2497.0,7,0.0,53.0,15391.0,22598.0,Hartford,0,4
2013,Delaware,925114.0,0.0,1618.0,1871.0,12,53.0,97.0,98.0,3752.0,Wilmington,0,4
2013,Delaware,925114.0,0.0,1196.0,1032.0,8,52.0,45.0,184.0,2526.0,Wilmington,0,4
